English Vocabulary,Farsi Vocabulary,
Vocabulary,weāzhekān,واژگان,
Countries,keshorehā,کشورها,
Australia,āseterāleyā,استرالیا,
Cambodia,kāmeboj,کامبوج,
Canada,kānādā,کانادا,
China,cheyen,چین,
Egypt,meṣer,مصر,
England,ānekelesetān,انگلستان,
France,ferāneseh,فرانسه,
Germany,ālemān,آلمان,
Greece,yonān,یونان,
India,henedosetān,هندوستان,
Indonesia,ānedonezey,اندونزی,
Italy,āyetāleyā,ایتالیا,
Japan,zhāpen,ژاپن,
Mexico,mekezeyek,مکزیک,
Morocco,merākesh,مراکش,
Peru,pero,پرو,
Spain,āsepāneyā,اسپانیا,
Thailand,tāyelened,تایلند,
USA,āyālāt meteḥedeh,ایالات متحده,
Languages,zebān hā,زبان ها,
Arabic,'erebey,عربی,
Chinese,cheyeney,چینی,
English,ānekeleyesey,انگلیسی,
French,ferānesoy,فرانسوی,
German,ālemāney,آلمانی,
Greek,yonāney,یونانی,
Hebrew,'eberey,عبری,
Hindi,henedey,هندی,
Italian,āyetāleyāyey,ایتالیایی,
Japanese,zhāpeney,ژاپنی,
Korean,kereh āy,کره ای,
Latin,lāteyen,لاتین,
Russian,rosey,روسی,
Spanish,āsepāneyāyey,اسپانیایی,
Urdu,āredo,اردو,
Days,rozehā,روزها,
Monday,doshenebeh,دوشنبه,
Tuesday,seh shenebeh,سه شنبه,
Wednesday,chehāreshenebeh,چهارشنبه,
Thursday,penej shenebeh,پنج شنبه,
Friday,jeme'eh,جمعه,
Saturday,shenebeh,شنبه,
Sunday,yekeshenebeh,یکشنبه,
time,zemān,زمان,
hour,sā'et,ساعت,
minute,dequeyequeh,دقیقه,
second,s̱āneyeh,ثانیه,
colors,renekehā,رنگها,
black,seyāh,سیاه,
blue,ābey,آبی,
brown,quehoh āy,قهوه ای,
gray,khākeseterey,خاکستری,
green,sebez,سبز,
orange,nārenejey,نارنجی,
purple,āreghoāney,ارغوانی,
red,queremez,قرمز,
white,sefeyed,سفید,
yellow,zered,زرد,
sizes,ānedāzeh hā,اندازه ها,
big,bezerek,بزرگ,
deep,'emeyequ,عمیق,
long,derāz / kesheyedeh / ṭolāney,دراز / کشیده / طولانی,
narrow,bāreyek,باریک,
short,kotāh,کوتاه,
small,kochek,کوچک,
tall,qued belened,قد بلند,
thick,z̤ekheyem,ضخیم,
thin,nāzek,نازک,
wide,weseye',وسیع,
tastes,mezeh hā,مزه ها,
bitter,telekh,تلخ,
fresh,tāzeh,تازه,
salty,shor,شور,
sour,teresh,ترش,
spicy,tened,تند,
sweet,sheyereyen,شیرین,
qualities,keyefeyet,کیفیت,
bad,bed,بد,
clean,temeyeze/pāk,تمیز/پاک,
dark,tār / tāreyek,تار / تاریک,
difficult,deshoār,دشوار,
dirty,kes̱eyef,کثیف,
dry,kheshek,خشک,
easy,sādeh,ساده,
empty,khāley,خالی,
expensive,kerān,گران,
fast,sereye',سریع,
foreign,khārejey,خارجی,
full,kāmel,کامل,
good,khob,خوب,
hard,sekhet / sefet,سخت / سفت,
heavy,senekeyen,سنگین,
inexpensive,ārezān,ارزان,
light,sebek,سبک,
local,meḥeley,محلی,
new,jedeyed,جدید,
noisy,per ser o ṣedā,پر سر و صدا,
old,quedeyemey,قدیمی,
powerful,quoy,قوی,
quiet,sāket,ساکت,
correct,dereset,درست,
slow,kened,کند,
soft,nerem,نرم,
very,beseyār,بسیار,
weak,z̤e'eyef,ضعیف,
wet,mereṭob,مرطوب,
wrong,āshetebāh,اشتباه,
young,joān,جوان,
food,gheẕā,غذا,
almonds,bādām,بادام,
bread,nān,نان,
breakfast,ṣebeḥāneh,صبحانه,
butter,kereh,کره,
candy,ābenebāt,آبنبات,
cheese,peneyer,پنیر,
chicken,jojeh,جوجه,
cumin,zeyereh sebez,زیره سبز,
dessert,deser,دسر,
dinner,shām,شام,
fish,māhey,ماهی,
fruit,meyoh,میوه,
ice cream,beseteney,بستنی,
lamb,koshet bereh,گوشت بره,
lemon,leyemo,لیمو,
lunch,nāhār,ناهار,
meal,gheẕā,غذا,
meat,koshet,گوشت,
oven,fer,فر,
pepper,felefel,فلفل,
plants,keyāhān,گیاهان,
pork,koshet khok,گوشت خوک,
salad,sālād,سالاد,
salt,nemek,نمک,
sandwich,sānedoyech,ساندویچ,
sausage,soseyes,سوسیس,
soup,sop,سوپ,
sugar,sheker,شکر,
supper,shām,شام,
turkey,boquelemon,بوقلمون,
apple,seyeb,سیب,
banana,moz,موز,
oranges,peretequāl,پرتقال,
peaches,helo,هلو,
peanut,bādām zemeyeney,بادام زمینی,
pears,kelābey,گلابی,
pineapple,ānānās,آناناس,
grapes,ānekor,انگور,
strawberries,tot ferenekey,توت فرنگی,
vegetables,sebezeyejāt,سبزیجات,
carrot,hoyej,هویج,
corn,ẕeret,ذرت,
cucumber,kheyār,خیار,
garlic,seyer,سیر,
lettuce,kāho,کاهو,
olives,zeyeton,زیتون,
onions,peyāz,پیاز,
peppers,felefel,فلفل,
potatoes,seyeb zemeyeney,سیب زمینی,
pumpkin,kedo tenebel,کدو تنبل,
beans,lobeyā,لوبیا,
tomatoes,kojeh ferenekey,گوجه فرنگی,
alligator,temesāḥ,تمساح,
alligators,temesāḥ hā,تمساح ها,
bear,kheres,خرس,
bears,kheresehā,خرسها,
bird,perenedeh,پرنده,
birds,perenedekān,پرندگان,
bull,kāo ner,گاو نر,
bulls,kāohāy ner,گاوهای نر,
cat,kerebeh,گربه,
cats,kerebeh hā,گربه ها,
cow,kāo,گاو,
cows,kāohā,گاوها,
deer,āho,آهو,
many deer,āhohāy zeyād,آهوهای زیاد,
dog,sek,سگ,
dogs,sek hā,سگ ها,
donkey,kher / ālāgh,خر / الاغ,
donkeys,kherehā / ālāgh hā,خرها / الاغ ها,
eagle,'equāb,عقاب,
eagles,'equābehā,عقابها,
elephant,feyel,فیل,
elephants,feyelehā,فیلها,
giraffe,zerāfeh,زرافه,
giraffes,zerāfeh hā,زرافه ها,
goat,bez,بز,
goats,bezehā,بزها,
horse,āseb,اسب,
horses,āseb hā,اسب ها,
lion,sheyer,شیر,
lions,sheyerehā,شیرها,
monkey,meyemon,میمون,
monkeys,meyemon hā,میمون ها,
mouse,mosh,موش,
mice,moshehā,موشها,
rabbit,kherekosh,خرگوش,
rabbits,kherekoshehā,خرگوشها,
snake,mār,مار,
snakes,mārehā,مارها,
tiger,beber,ببر,
tigers,beberehā,ببرها,
wolf,kerek,گرگ,
wolves,kerekehā,گرگها,
objects,āsheyā',اشیاء,
bathroom,ḥemām,حمام,
bed,beseter,بستر,
bedroom,āṭāqu khoāb,اطاق خواب,
ceiling,sequef,سقف,
chair,ṣenedeley,صندلی,
clothes,lebās,لباس,
coat,ket,کت,
cup,fenejān,فنجان,
desk,meyez,میز,
dress,lebās,لباس,
floor,kef ātāqu / ṭebequeh,کف اتاق / طبقه,
fork,chenekāl,چنگال,
furniture,mebel,مبل,
glass,sheyesheh,شیشه,
hat,kelāh,کلاه,
house,khāneh,خانه,
ink,joher,جوهر,
jacket,zhāket,ژاکت,
kitchen,āshepezekhāneh,آشپزخانه,
knife,chāquo,چاقو,
lamp,lāmep,لامپ,
letter,nāmeh,نامه,
map,nequesheh,نقشه,
newspaper,rozenāmeh,روزنامه,
notebook,defeterecheh,دفترچه,
pants,sheloār,شلوار,
paper,kāgheẕ,کاغذ,
pen,khodekār,خودکار,
pencil,medād,مداد,
pharmacy,dārokhāneh,داروخانه,
picture,'ekes,عکس,
plate,beshequāb,بشقاب,
refrigerator,yekhechāl,یخچال,
restaurant,resetorān,رستوران,
roof,bām,بام,
room,ātāqu,اتاق,
rug,quāleyecheh,قالیچه,
scissors,queyechey,قیچی,
shampoo,shāmepo,شامپو,
shirt,peyerāhen,پیراهن,
shoes,kefesh,کفش,
soap,ṣābon,صابون,
socks,jorāb,جوراب,
spoon,quāshequ,قاشق,
table,meyez,میز,
toilet,toālet,توالت,
toothbrush,mesoāk,مسواک,
toothpaste,khemeyer denedān,خمیر دندان,
towel,ḥoleh,حوله,
umbrella,cheter,چتر,
underwear,lebās zeyer,لباس زیر,
wall,deyoār,دیوار,
wallet,keyef pol,کیف پول,
window,penejereh,پنجره,
telephone,telefen,تلفن,
this,āyen,این,
that,āyen,این,
these,āyenehā,اینها,
those,ānehā,آنها,
Questions,se'aālāt,سؤالات,
how?,chekonehe?,چگونه؟,
what?,chehe?,چه؟,
who?,keye?,کی؟,
why?,cherā?,چرا؟,
where?,kejā?,کجا؟,
different objects,āsheyā' mekhetelef,اشیاء مختلف,
art,hener,هنر,
bank,bānek,بانک,
beach,sāḥel,ساحل,
book,ketāb,کتاب,
by bicycle,bā docherekheh,با دوچرخه,
by bus,bā ātobos,با اتوبوس,
by car,bā māsheyen,با ماشین,
by train,bā queṭār,با قطار,
cafe,kāfeh,کافه,
country,keshor,کشور,
desert,ṣeḥerā,صحرا,
dictionary,ferehenek leghāt / oāzheh nāmeh,فرهنگ لغات / واژه نامه,
earth,zemeyen,زمین,
flowers,kelehā,گلها,
football,fotebāl,فوتبال,
forest,jenekel,جنگل,
game,bāzey,بازی,
garden,bāgh,باغ,
geography,jegherāfeyā,جغرافیا,
history,tāreyekh,تاریخ,
house,khāneh,خانه,
island,jezeyereh,جزیره,
lake,dereyācheh,دریاچه,
library,ketābekhāneh,کتابخانه,
math,reyāz̤ey,ریاضی,
moon,māh,ماه,
mountain,koh,کوه,
movies,feyelem hā,فیلم ها,
music,moseyequey,موسیقی,
ocean,āqueyānos,اقیانوس,
office,ādāreh,اداره,
on foot,peyādeh,پیاده,
player,bāzeyeken,بازیکن,
river,rodekhāneh,رودخانه,
science,'elem,علم,
sea,dereyā,دریا,
sky,āsemān,آسمان,
soccer,fotebāl,فوتبال,
stars,setāreh hā,ستاره ها,
supermarket,soperemāreket,سوپرمارکت,
swimming pool,āsetekher,استخر,
theater,te'aāter,تئاتر,
tree,derekhet,درخت,
weather,āb o hoā,آب و هوا,
bad weather,āb o hoāy bed,آب و هوای بد,
cloudy,āberey,ابری,
cold,sered,سرد,
cool,khenek,خنک,
foggy,meh ālod,مه آلود,
hot,kerem,گرم,
nice weather,āb o hoāy khob,آب و هوای خوب,
pouring,rekebār,رگبار,
rain,bārān,باران,
raining,bārāney,بارانی,
snow,beref,برف,
snowing,berefey,برفی,
ice,yekh zedeh,یخ زده,
sunny,āfetābey,آفتابی,
windy,ṭofāney,طوفانی,
spring,behār,بهار,
summer,tābesetān,تابستان,
autumn,pāyeyez,پاییز,
winter,zemesetān,زمستان,
people,meredem,مردم,
aunt,'emeh / khāleh,عمه / خاله,
baby,becheh,بچه,
brother,berāder,برادر,
cousin,pesere/dekhetere( 'emo/ khālehe/ dāyeye/'emehe),پسر/دختر( عمو/ خاله/ دایی/عمه),
daughter,dekheter,دختر,
dentist,denedānepezeshek,دندانپزشک,
doctor,deketer,دکتر,
father,peder,پدر,
grandfather,peder bezerek,پدر بزرگ,
grandmother,māder bezerek,مادر بزرگ,
husband,shoher,شوهر,
mother,māder,مادر,
nephew,peser khoāher / peser berāder,پسر خواهر / پسر برادر,
niece,dekheter khoāhere/ dekheter berāder,دختر خواهر/ دختر برادر,
nurse,peresetār,پرستار,
policeman,peleyes,پلیس,
postman,pesetechey,پستچی,
professor,āsetād,استاد,
son,peser,پسر,
teacher,me'elem,معلم,
uncle,'emo / dāyey,عمو / دایی,
wife,hemeser,همسر,
